2014-08-21 14:11:47,235 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2014-08-21 14:12:49,392 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://dist.wso2.org/maven2/org/wso2/carbon/throttling/4.3.0-SNAPSHOT/maven-metadata.xml
2014-08-21 14:12:50,718 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:org.eclipse.equinox.http.servlet:jar:1.0.200.v20090520-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:12:52,083 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.keymgt:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.keymgt/pom.xml.
2014-08-21 14:12:52,773 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.keymgt.client:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.keymgt.client/pom.xml.
2014-08-21 14:12:52,877 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.gateway:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.gateway/pom.xml.
2014-08-21 14:12:53,511 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/pom.xml.
2014-08-21 14:12:53,604 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage.publisher:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.publisher/pom.xml.
2014-08-21 14:12:54,384 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage.client:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.client/pom.xml.
2014-08-21 14:12:56,019 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage.analyzer:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.analyzer/pom.xml.
2014-08-21 14:12:56,755 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.core:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.core/pom.xml.
2014-08-21 14:12:57,926 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.interceptor:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.interceptor/pom.xml.
2014-08-21 14:12:58,945 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.startup.publisher:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.startup.publisher/pom.xml.
2014-08-21 14:13:04,754 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.keymgt.client/src/main/java
2014-08-21 14:13:04,756 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.keymgt.client/src/test/java
2014-08-21 14:13:05,437 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: org.wso2.carbon:apimgt:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/pom.xml.
2014-08-21 14:13:05,475 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.core:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.core/pom.xml.
2014-08-21 14:13:07,834 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:07,837 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:09,396 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:09,841 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:org.eclipse.equinox.http.servlet:jar:1.0.200.v20090520-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:10,795 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.hostobjects:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.hostobjects/pom.xml.
2014-08-21 14:13:11,027 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:javax.servlet.jsp:jar:2.0.0.v200806031607 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:12,388 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.gateway:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.gateway/pom.xml.
2014-08-21 14:13:13,271 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.interceptor:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.interceptor/pom.xml.
2014-08-21 14:13:14,398 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.keymgt:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.keymgt/pom.xml.
2014-08-21 14:13:15,358 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.startup.publisher:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.startup.publisher/pom.xml.
2014-08-21 14:13:16,449 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.api:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.api/pom.xml.
2014-08-21 14:13:16,452 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/pom.xml.
2014-08-21 14:13:16,514 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.keymgt.client:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.keymgt.client/pom.xml.
2014-08-21 14:13:16,566 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.impl:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.impl/pom.xml.
2014-08-21 14:13:17,248 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage.publisher:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.publisher/pom.xml.
2014-08-21 14:13:18,245 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage.analyzer:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.analyzer/pom.xml.
2014-08-21 14:13:18,871 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage.client:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/org.wso2.carbon.apimgt.usage.client/pom.xml.
2014-08-21 14:13:19,643 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.api:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.api/pom.xml.
2014-08-21 14:13:19,696 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.core:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.core/pom.xml.
2014-08-21 14:13:20,254 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:20,259 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:20,885 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:21,300 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:org.eclipse.equinox.http.servlet:jar:1.0.200.v20090520-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:31,526 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.gateway:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.gateway/pom.xml.
2014-08-21 14:13:31,543 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.api/src/main/java
2014-08-21 14:13:31,544 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.api/src/test/java
2014-08-21 14:13:31,895 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.impl/src/main/java
2014-08-21 14:13:31,896 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /org.wso2.carbon.apimgt.impl/src/main/resources
2014-08-21 14:13:31,897 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.impl/src/test/java
2014-08-21 14:13:31,899 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /org.wso2.carbon.apimgt.impl/src/test/resources
2014-08-21 14:13:32,352 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:33,812 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:33,815 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:34,949 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.hostobjects:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.hostobjects/pom.xml.
2014-08-21 14:13:35,520 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:35,525 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:36,400 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:36,609 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:javax.servlet.jsp:jar:2.0.0.v200806031607 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:36,873 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:org.eclipse.equinox.http.servlet:jar:1.0.200.v20090520-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:37,924 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.impl:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.impl/pom.xml.
2014-08-21 14:13:38,598 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:38,603 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:40,333 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:40,965 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.interceptor:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.interceptor/pom.xml.
2014-08-21 14:13:40,978 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:org.eclipse.equinox.http.servlet:jar:1.0.200.v20090520-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:41,490 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:41,493 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:42,123 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:43,623 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.keymgt:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.keymgt/pom.xml.
2014-08-21 14:13:44,278 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:44,281 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:45,594 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:46,358 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.keymgt.client:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.keymgt.client/pom.xml.
2014-08-21 14:13:46,642 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.startup.publisher:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.startup.publisher/pom.xml.
2014-08-21 14:13:47,102 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for uddi:uddi4j:jar:1.0.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:47,107 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.core:org.eclipse.core.runtime:jar:3.5.0.v20090429-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:48,018 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.bsf:bsf-all:jar:3.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:48,484 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.equinox:org.eclipse.equinox.http.servlet:jar:1.0.200.v20090520-1800 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-08-21 14:13:49,007 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.gateway/src/main/java
2014-08-21 14:13:49,007 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /org.wso2.carbon.apimgt.gateway/src/main/resources
2014-08-21 14:13:49,008 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.gateway/src/test/java
2014-08-21 14:13:50,155 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: org.wso2.carbon:org.wso2.carbon.apimgt.usage:4.3.0-SNAPSHOT @ /home/msffayaza/GitHub/carbon-apimgt/components/apimgt/org.wso2.carbon.apimgt.usage/pom.xml.
2014-08-21 14:13:50,160 [Worker-4] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-08-21 14:13:51,398 [New I/O client worker #3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://dist.wso2.org/maven2/org/wso2/carbon/carbon-kernel/4.3.0-SNAPSHOT/maven-metadata.xml
2014-08-21 14:13:51,405 [Worker-4] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-08-21 14:13:51,971 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.usage.publisher/src/main/java
2014-08-21 14:13:51,971 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /org.wso2.carbon.apimgt.usage.publisher/src/test/java
2014-08-21 14:13:52,558 [New I/O client worker #4-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://dist.wso2.org/maven2/org/wso2/carbon/carbon-parent/4.3.0-SNAPSHOT/maven-metadata.xml
